#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),
,alacritty,"is a cross-platform, GPU-accelerated terminal emulator."
,arandr,"provides a simple visual front end for XRandR 1.2."
,arc-solid-gtk-theme,"is a flat theme for GTK."
,atool,"is a script for managing file archives of various types."
,autopep8,"is a tool that automatically formats Python code to conform to the PEP 8 style guide."
,awesome,"is highly configurable framework window manager."
,bat,"is cat clone with syntax highlighting and git integration."
,btop,"is monitor of system resources, bpytop ported to C++."
,catdoc,"is a convertor for Microsoft Word, Excel, PowerPoint and RTF Files to text."
,chafa,"is image-to-text converter supporting a wide range of symbols and palettes, transparency, animations, etc."
,dmenu,"is generic menu for X"
,docx2txt,"recovers text from DOCX files, with good formatting."
,dosfstools,"is DOS filesystem utilities."
,dunst,"is customizable and lightweight notification-daemon."
,exa,"is ls replacement."
,exfat-utils,"are utilities for exFAT file system."
,fakeroot,"is a tool for simulating superuser privileges."
,ffmpeg,"is complete solution to record, convert and stream audio and video."
,ffmpegthumbnailer,"is lightweight video thumbnailer that can be used by file managers."
,flake8,"is the modular source code checker: pep8, pyflakes and co."
,flameshot,"is powerful yet simple to use screenshot software."
,git,"is the fast distributed version control system."
,glow,"is command-line markdown renderer."
,gnome-epub-thumbnailer,"is thumbnailer for EPub and MOBI books."
,gnumeric,"is a GNOME Spreadsheet Program."
,gzip,"is GNU compression utility."
,imagemagick,"in an image viewing/manipulation program."
,lazygit,"is simple terminal UI for git commands."
,libnotify,"is a library for sending desktop notifications."
,linux-headers,"are Headers and scripts for building modules for the Linux kernel"
,luacheck,"is a tool for linting and static analysis of Lua code."
,luarocks,"is deployment and management system for Lua modules."
,make,"are GNU make utility to maintain groups of programs."
,man-db,"is a utility for reading man pages."
,mediainfo,"supplies technical and tag information about a video or audio file (CLI interface)."
,moreutils,"is a growing collection of the unix tools that nobody thought to write thirty years ago."
,mpv,"is a free, open source, and cross-platform media player."
,ncdu,"is disk usage analyzer with an ncurses interface."
,neovim,"is a fork of Vim aiming to improve user experience, plugins, and GUIs."
,network-manager-applet,"is applet for managing network connections."
,nextcloud-client,"is Nextcloud desktop client."
,nodejs,"is evented I/O for V8 javascript."
,nsxiv,"is Neo (or New or Not) Simple (or Small or Suckless) X Image Viewer."
,ntfs-3g,"is NTFS filesystem driver and utilities."
,odt2txt,"extracts the text out of OpenDocument Texts."
,papirus-icon-theme,"is Papirus icon theme."
,picom,"is X compositor that may fix tearing issues."
,pipewire,"is low-latency audio/video router and processor."
,pipewire-jack,"is low-latency audio/video router and processor - JACK support."
,pipewire-pulse,"is low-latency audio/video router and processor - PulseAudio replacement."
,pipewire-v4l2,"is low-latency audio/video router and processor - V4L2 interceptor."
,pkgconf,"is package compiler and linker metadata toolkit"
,playerctl,"is mpris media player controller and lib for spotify, vlc, audacious, bmp, xmms2, and others."
,polkit-gnome,"is legacy polkit authentication agent for GNOME."
,poppler,"is PDF rendering library based on xpdf 3.0."
,pulsemixer,"is CLI and curses mixer for pulseaudio."
,python-pip,"is the PyPA recommended tool for installing Python packages."
,redshift,"adjusts the color temperature of your screen according to your surroundings."
,reflector,"is a Python 3 module and script to retrieve and filter the latest Pacman mirror list."
,ripgrep,"is a search tool that combines the usability of ag with the raw speed of grep."
,skim,"is a Fuzzy Finder in Rust."
,slock,"is a simple screen locker for X."
,starship,"is a cross-shell prompt for astronauts."
,stig,"is TUI and CLI client for the Transmission daemon."
,tealdeer,"is a fast tldr client in Rust."
,transmission-cli,"is fast, easy, and free BitTorrent client (CLI tools, daemon and web client)."
,ttf-linux-libertine,"are Serif (Libertine) and Sans Serif (Biolinum) OpenType fonts with large Unicode coverage."
,ueberzug,"is a command line util which allows to display images in combination with X11."
,unicode-emoji,"is unicode Emoji Data Files."
,unrar,"is the RAR uncompression program."
,unzip,"for extracting and viewing files in .zip archives."
,v4l2loopback-utils,"is v4l2-loopback device – utilities only."
,wget,"is network utility to retrieve files from the Web."
,wireplumber,"is session / policy manager implementation for PipeWire."
,xclip,"is command line interface to the X11 clipboard."
,xorg-xinit,"is X.Org initialisation program."
,xorg-xprop,"is property displayer for X."
,xorg-xwininfo,"is command-line utility to print information about windows on an X server."
,xwallpaper,"is wallpaper setting utility for X."
,yt-dlp,"is a youtube-dl fork with additional features and fixes."
,zathura,"is a minimalistic document viewer."
,zathura-cb,"adds comic book support to zathura."
,zathura-djvu,"adds DjVu support for Zathura."
,zathura-pdf-mupdf,"is PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)."
,zathura-ps,"Adds ps support to zathura by using the libspectre library."
,zip,"is compressor/archiver for creating and modifying zipfiles."
,zsh,"is a very advanced and programmable command interpreter (shell) for UNIX."
,zsh-autosuggestions,"is Fish-like autosuggestions for zsh."
,zsh-history-substring-search,"is a ZSH port of Fish history search (up arrow)."
A,beautysh,"is a Bash beautifier for the masses."
A,doasedit-alternative,"Enables doers to edit non-user-editable files with an unprivileged editor."
A,dracula-gtk-theme,"is dark theme for GTK."
A,dracula-icons-git,"is Dark Icons Theme for Linux Desktops."
A,fastfetch-git,"like neofetch, but much faster because written in C."
A,htop-vim,"is interactive process viewer with a Vim keybindings patch."
A,lf,"is a terminal file manager inspired by ranger."
A,librewolf-bin,"is community-maintained fork of Firefox, focused on privacy, security and freedom.."
A,sc-im,"is a spreadsheet program based on SC."
A,spacefm,"is multi-panel tabbed file manager."
A,unimatrix-git,"is Python script to simulate the display from "The Matrix" in terminal. Uses half-width katakana unicode characters by default, but can use custom character sets."
A,v4l2loopback-dkms,"is v4l2-loopback device – module sources."
A,zsh-autoswitch-virtualenv-git,"is ZSH plugin that switches python virtualenvs automatically as you move between directories."
A,zsh-fast-syntax-highlighting,"is optimized and extended zsh-syntax-highlighting."
G,https://github.com/kristoferssolo/SoloVim.git,"are my neovim configuration files."
